,project_id,state,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,funded_locations,funded_cai,dominant_technology,avg_download_speed,avg_upload_speed,state_num_providers
1558,CM61-BEAD-WA-26-96212-167,WA,5883011.0,107.0,494.0,0.0,L,True,722,0,50.0,712.049861495845,686.45429362881,15
1559,CM61-BEAD-WA-26-96212-363,WA,7463.0,0.0,0.0,0.0,L,False,4,0,61.0,100.0,20.0,15
1560,CM61-BEAD-WA-26-96212-111,WA,696633.0,0.0,0.0,0.0,L,True,41,3,72.0,165.85365853658536,91.70731707317073,15
1561,CM61-BEAD-WA-26-96212-364,WA,10800.0,0.0,0.0,0.0,L,False,18,0,61.0,150.0,20.0,15
1562,CM61-BEAD-WA-26-96212-112,WA,2820000.0,0.0,0.0,0.0,L,True,910,0,72.0,100.0,20.0,15
1563,CM61-BEAD-WA-26-96212-365,WA,199503.0,0.0,0.0,0.0,L,False,123,0,61.0,100.0,20.0,15
1564,CM61-BEAD-WA-26-96212-113,WA,1412185.0,0.0,0.0,0.0,L,True,514,1,72.0,101.75097276264592,21.90661478599222,15
1565,CM61-BEAD-WA-26-96212-366,WA,230383.0,0.0,0.0,0.0,L,False,124,0,61.0,100.0,20.0,15
1566,CM61-BEAD-WA-26-96212-367,WA,205800.0,0.0,0.0,0.0,L,True,343,0,61.0,150.0,20.0,15
1567,CM61-BEAD-WA-26-96212-368,WA,18507.0,0.0,0.0,0.0,L,False,12,0,61.0,100.0,20.0,15
1568,CM61-BEAD-WA-26-96212-168,WA,4769456.0,89.0,40.0,0.0,L,True,733,0,50.0,826.8758526603003,811.487039563438,15
1569,CM61-BEAD-WA-26-96212-047,WA,6037500.0,251.0,63.0,0.0,L,True,644,0,50.0,830.900621118012,815.869565217392,15
1570,CM61-BEAD-WA-26-96212-369,WA,7200.0,0.0,0.0,0.0,L,False,12,0,61.0,150.0,20.0,15
1571,CM61-BEAD-WA-26-96212-048,WA,9716985.0,314.0,79.0,0.0,L,True,858,1,71.0,415.73426573426576,363.799533799534,15
1572,CM61-BEAD-WA-26-96212-370,WA,16574.0,0.0,0.0,0.0,L,False,10,0,61.0,100.0,20.0,15
1573,CM61-BEAD-WA-26-96212-049,WA,4619529.0,151.0,38.0,0.0,L,True,402,0,50.0,652.9850746268659,622.139303482587,15
1574,CM61-BEAD-WA-26-96212-371,WA,2400.0,0.0,0.0,0.0,L,False,4,0,61.0,150.0,20.0,15
1575,CM61-BEAD-WA-26-96212-050,WA,5016913.0,227.0,57.0,0.0,L,True,970,0,71.0,369.99999999999983,313.99999999999994,15
1576,CM61-BEAD-WA-26-96212-372,WA,486600.0,0.0,0.0,0.0,L,True,811,0,61.0,150.0,20.0,15
1577,CM61-BEAD-WA-26-96212-373,WA,35824.0,0.0,0.0,0.0,L,False,23,0,61.0,100.0,20.0,15
1578,CM61-BEAD-WA-26-96212-374,WA,129600.0,0.0,0.0,0.0,L,True,216,0,61.0,150.0,20.0,15
1579,CM61-BEAD-WA-26-96212-375,WA,9324.0,0.0,0.0,0.0,L,False,6,0,61.0,100.0,20.0,15
1580,CM61-BEAD-WA-26-96212-376,WA,1314000.0,0.0,0.0,0.0,L,True,821,0,61.0,100.0,20.0,15
1581,CM61-BEAD-WA-26-96212-377,WA,171600.0,0.0,0.0,0.0,L,True,286,0,61.0,150.0,20.0,15
1582,CM61-BEAD-WA-26-96212-378,WA,17056.0,0.0,0.0,0.0,L,False,11,0,61.0,100.0,20.0,15
1583,CM61-BEAD-WA-26-96212-220,WA,252600.0,0.0,0.0,0.0,L,True,421,0,61.0,150.0,20.0,15
1584,CM61-BEAD-WA-26-96212-380,WA,18624.0,0.0,0.0,0.0,L,False,12,0,61.0,100.0,20.0,15
1585,CM61-BEAD-TN-0001,TN,49200.0,0.0,0.0,0.0,L,False,82,0,61.0,100.0,20.0,13
1586,CM61-BEAD-TN-0004,TN,2996413.5,161.0,40.0,20.0,L,True,1095,0,50.0,8000.0,8000.0,13
1587,CM61-BEAD-TN-0005,TN,1349946.0,81.0,20.0,20.0,L,True,454,0,50.0,8000.0,8000.0,13
1588,CM61-BEAD-TN-0006,TN,250248.0,21.0,5.0,20.0,L,True,77,0,50.0,8000.0,8000.0,13
1589,CM61-BEAD-TN-0008,TN,416000.0,13.0,3.0,20.0,L,True,128,0,50.0,8000.0,8000.0,13
1590,CM61-BEAD-TN-0011,TN,295639.08,4.0,1.0,3.0,L,True,39,0,50.0,8000.0,8000.0,13
1591,CM61-BEAD-TN-0013,TN,3592801.0,171.0,10.0,10.0,L,True,1016,0,50.0,1000.0,1000.0,13
1592,CM61-BEAD-TN-0015,TN,6907236.29,287.0,1.0,4.0,L,True,5241,0,50.0,2500.0,2500.0,13
1593,CM61-BEAD-TN-0019,TN,6453709.4,47.0,71.0,150.0,L,True,1126,0,40.0,2000.0,2000.0,13
1594,CM61-BEAD-TN-0020,TN,2253282.17,24.0,57.0,19.0,L,True,149,0,50.0,1000.0,1000.0,13
1595,CM61-BEAD-TN-0024,TN,4651599.0,143.0,17.0,9.0,L,True,542,0,50.0,1000.0,1000.0,13
1596,CM61-BEAD-TN-0025,TN,1436419.0,51.0,4.0,5.0,L,True,315,0,50.0,1000.0,1000.0,13
1597,CM61-BEAD-TN-0026,TN,3680788.0,132.0,13.0,12.0,L,True,540,0,50.0,1000.0,1000.0,13
1598,CM61-BEAD-TN-0029,TN,820454.0,39.0,0.0,10.0,L,True,332,0,50.0,1000.0,1000.0,13
1599,CM61-BEAD-TN-0032,TN,1450330.25,33.0,1.0,7.0,L,True,132,0,50.0,8000.0,8000.0,13
1600,CM61-BEAD-TN-0034,TN,6461662.14,153.0,41.0,22.0,L,True,680,0,50.0,8000.0,8000.0,13
1601,CM61-BEAD-TN-0037,TN,6950083.24,217.0,9.0,31.0,L,True,769,0,50.0,8000.0,8000.0,13
1602,CM61-BEAD-TN-0042,TN,2981377.2,63.0,23.0,10.0,L,True,151,0,50.0,8000.0,8000.0,13
1603,CM61-BEAD-TN-0049,TN,156784.0,2.0,1.0,1.0,L,True,13,0,50.0,1000.0,1000.0,13
1604,CM61-BEAD-TN-0058,TN,2372976.51,82.0,0.0,0.0,L,True,189,0,50.0,8000.0,8000.0,13
1605,CM61-BEAD-TN-0060,TN,12006040.84,366.0,0.0,0.0,L,True,1247,0,50.0,8000.0,8000.0,13
1606,CM61-BEAD-TN-0062,TN,10989173.3,845.0,0.0,62.0,L,True,2833,0,50.0,10000.0,10000.0,13
1607,CM61-BEAD-TN-0067,TN,1650052.41,81.0,0.0,5.0,L,True,489,0,50.0,10000.0,10000.0,13
1608,CM61-BEAD-TN-0068,TN,2680053.56,184.0,6.0,5.0,L,True,517,0,50.0,1000.0,1000.0,13
1609,CM61-BEAD-TN-0071,TN,6272900.03,42.0,64.0,50.0,L,True,466,0,40.0,2000.0,2000.0,13
1610,CM61-BEAD-TN-0079,TN,1530987.9,20.0,30.0,50.0,L,True,412,0,40.0,2000.0,2000.0,13
1611,CM61-BEAD-TN-0081,TN,3093818.99,39.0,59.0,50.0,L,True,475,0,40.0,2000.0,2000.0,13
