,project_id,state_x,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,n_loc_only,n_cai_only,n_both,n_total,frac_competitor_qualifying,frac_competitor_qualifying_any,frac_present_at_location,frac_present_at_location_qualifying,frac_fiber_comp,frac_cable_comp,frac_fw_comp,frac_wired_qualifying,funded_locations,technology,state_y,prov_coverage,provider_id,frn,n_blocks,n_locs,frac_tech_40,frac_tech_50,frac_tech_61,frac_tech_71,geo_n,n_counties,rucc_code_wmean,topography_z_wmean,RRS_wmean,poverty_rate_wmean,POPDEN_RUR_wmean,POPDEN_COU_wmean,no_prior_presence_frac,n_locations,nearest_mi_served_same_isp,nearest_mi_served_any,total_fiber_miles,pct_aerial,miles_per_location,pct_cai,jobs_per_location,has_incumbent,funding_per_location,log_funding
0,CM61-BEAD-CT-001-1,CT,110271.0,2.0,1.0,14.0,L,True,62,198,0,260,0.596774193548387,1.0,0.0,0.0,0.467741935483871,0.20967741935483875,0.6451612903225806,0.5322580645161291,62,50.0,CT,26.894548332558546,130317.0,0003768165,43.0,62,0.08064516129032258,0.9193548387096774,0.0,0.0,298,1.0,4.0,0.9286799999999998,1.125,0.12753433616742968,255.886358685491,1531.9532931424,0.0,62,0.623210669810999,0.04870832403005022,3.0,0.6666666666666666,0.04838709677419355,0.7615384615384615,0.22580645161290322,1,1778.5645161290322,7.484123959493399
1,CM61-BEAD-CT-003-1,CT,171483.0,4.0,1.0,14.0,L,True,2,125,0,127,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,50.0,CT,95.86834733893558,130317.0,0003768165,2.0,2,0.0,1.0,0.0,0.0,10,1.0,4.0,1.08035,1.125,0.12753433616742968,182.401494620479,1223.92507430976,0.0,2,0.10807088595566511,0.10807088595566511,5.0,0.8,2.5,0.984251968503937,7.0,1,85741.5,11.359103897646175
2,CM61-BEAD-CT-005-1,CT,31986.0,1.0,1.0,14.0,L,True,36,54,0,90,0.08333333333333333,1.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.6944444444444444,0.05555555555555555,36,50.0,CT,35.818581308919995,130317.0,0003768165,19.0,36,0.027777777777777776,0.9722222222222222,0.0,0.0,179,1.0,4.0,1.08035,1.125,0.12753433616742968,100.18204343435998,201.177619720244,0.0,36,0.2877419462719711,0.06796773813707038,2.0,0.5,0.05555555555555555,0.6,0.3888888888888889,1,888.5,6.7906595071058895
3,CM61-BEAD-CT-007-1,CT,62948.0,2.0,1.0,14.0,L,True,1,32,0,33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,40.0,CT,0.0,130317.0,0003768165,1.0,1,1.0,0.0,0.0,0.0,5,1.0,4.0,0.77701,1.125,0.12753433616742968,173.477544557621,444.744123064832,0.0,1,0.258337180142172,0.258337180142172,3.0,0.6666666666666666,3.0,0.9696969696969697,14.0,0,62948.0,11.050080153722805
4,CM61-BEAD-CT-009-1,CT,193291.0,4.0,1.0,14.0,L,True,13,121,0,134,0.23076923076923078,1.0,0.0,0.0,0.07692307692307693,0.0,0.6923076923076923,0.07692307692307693,13,50.0,CT,48.8012157605519,130317.0,0003768165,8.0,13,0.15384615384615385,0.8461538461538461,0.0,0.0,54,1.0,4.0,0.92868,1.125,0.12753433616742968,222.632520188472,1431.13093595237,0.0,13,0.09010318993685106,0.041915480093971086,5.0,0.8,0.38461538461538464,0.9029850746268657,1.0769230769230769,1,14868.538461538461,9.607070000743754
5,CM61-BEAD-CT-013-1,CT,40262.0,2.0,1.0,14.0,L,True,2,9,0,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,40.0,CT,97.1953578336557,130317.0,0003768165,2.0,2,1.0,0.0,0.0,0.0,11,1.0,4.0,0.77701,1.125,0.12753433616742968,209.74562650144,365.025011582185,0.0,2,0.2210390572747021,0.2210390572747021,3.0,0.6666666666666666,1.5,0.8181818181818182,7.0,1,20131.0,9.91006586789625
6,CM61-BEAD-CT-001-2,CT,1277249.0,6.0,7.0,6.0,L,True,69,152,0,221,0.4057971014492754,1.0,0.26086956521739135,0.11594202898550726,0.36231884057971014,0.14492753623188406,0.6231884057971014,0.36231884057971014,69,50.0,CT,67.35814630034396,130258.0,0003576352,53.0,69,0.0,1.0,0.0,0.0,362,1.0,4.0,0.9286799999999998,1.125,0.12753433616742968,255.88635868549102,1531.9532931424,0.0,69,0.11655490838880664,0.05939871125581819,13.0,0.46153846153846156,0.18840579710144928,0.6877828054298643,0.08695652173913043,1,18510.855072463768,9.826166620560103
7,CM61-BEAD-CT-003-2,CT,840276.0,7.0,5.0,6.0,L,True,36,127,0,163,0.24999999999999997,1.0,0.19444444444444445,0.027777777777777783,0.08333333333333334,0.027777777777777783,0.8888888888888888,0.11111111111111112,36,50.0,CT,68.21389209867884,130258.0,0003576352,29.0,36,0.0,1.0,0.0,0.0,198,1.0,4.0,1.08035,1.125,0.12753433616742968,182.401494620479,1223.92507430976,0.0,36,0.2809899728813317,0.13841523938867475,12.0,0.5833333333333334,0.3333333333333333,0.7791411042944786,0.16666666666666666,1,23341.0,10.058009591972299
8,CM61-BEAD-CT-005-2,CT,1419461.25,5.0,12.0,9.0,L,True,111,57,0,168,0.24324324324324323,1.0,0.3063063063063063,0.24324324324324326,0.02702702702702703,0.1981981981981982,0.5315315315315317,0.22522522522522526,111,50.0,CT,47.611667747207434,130258.0,0003576352,79.0,111,0.0,1.0,0.0,0.0,570,1.0,4.0,1.08035,1.125,0.12753433616742968,100.18204343436,201.177619720244,0.0,111,0.5325954537005428,0.16817787810865517,17.0,0.29411764705882354,0.15315315315315314,0.3392857142857143,0.08108108108108109,1,12787.93918918919,9.456335950491152
9,CM61-BEAD-CT-009-2,CT,541368.75,2.0,4.0,2.0,L,True,22,50,0,72,0.36363636363636365,1.0,0.27272727272727276,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.8181818181818181,0.2727272727272727,22,50.0,CT,68.51055756729885,130258.0,0003576352,16.0,22,0.0,1.0,0.0,0.0,128,1.0,4.0,0.92868,1.125,0.12753433616742968,222.632520188472,1431.13093595237,0.0,22,0.1986749983566053,0.0878125780689802,6.0,0.3333333333333333,0.2727272727272727,0.6944444444444444,0.09090909090909091,1,24607.670454545456,10.110854117323747
